file,subject_id,condition,trial_start,trial_end,duration_sec,mean_speed,max_speed,mean_abs_steer,mean_throttle,mean_brake,collision_events,feedback_events,feedback_duration_sec,feedback_ratio,pupil_mean_mm,pupil_std_mm,pupil_samples
carla_c06_S01_D01_RL_20260119112503.csv,S01,RL,1768793103.5528803,1768793208.4340775,104.88119721412659,36.25036023054755,54.0,0.005286862682547613,0.5544569524495677,0.0,0,0,0.0,0.0,3.839259203715106,0.2280743513652677,4809
carla_c06_S01_D01_RL_20260119114024.csv,S01,RL,1768794024.7048054,1768794122.7145922,98.00978684425354,41.373493975903614,60.0,0.0076455259683355006,0.1082520558424173,0.0,0,4,34.99761915206909,0.35708290242160706,3.961622133076897,0.27116085365259485,3604
carla_c06_S01_D01_RL_20260119114449.csv,S01,RL,1768794289.7549736,1768794393.067959,103.31298542022705,48.46856831395349,118.0,0.008395420393019925,0.12268604651162791,0.0,0,0,0.0,0.0,3.873627876976796,0.2235316175061698,5076
carla_c06_S01_D01_RL_20260119114659.csv,S01,RL,1768794419.5409064,1768794500.1452613,80.60435485839844,47.39715485074627,108.0,0.008408851868255221,0.18703917910447762,0.0,0,2,9.99360966682434,0.12398349548706887,3.953949030141878,0.20475550223741606,3529
carla_c06_S01_D01_feedback_20260119112811.csv,S01,feedback,1768793292.1438236,1768793406.0119712,113.86814761161804,44.98690101144089,61.0,0.005185232851838688,0.10520775990714641,0.010475045597744984,0,0,0.0,0.0,4.028550336229103,0.30759110293056724,5478
carla_c06_S01_D01_feedback_20260119113623.csv,S01,feedback,1768793783.983423,1768793892.0691953,108.08577227592468,42.602577499129225,63.0,0.0044180652866254045,0.10090107976314873,0.0,0,0,0.0,0.0,3.944540299229242,0.18654798708133877,4330
carla_c06_S01_D01_feedback_20260119113832.csv,S01,feedback,1768793913.1236122,1768794001.1454751,88.02186298370361,41.320186598812555,55.0,0.004394975878983975,0.13173473282442746,0.0,0,0,0.0,0.0,3.818577432585823,0.17212630119864464,3150
carla_c06_S01_D01_feedback_20260119114241.csv,S01,feedback,1768794161.686212,1768794264.3621926,102.67598056793213,45.69924812030075,89.0,0.0050527060810247265,0.1028070786722905,0.0,0,0,0.0,0.0,3.8470892320351298,0.266628765405639,4505
carla_c06_S01_D01_silence_20260119113038.csv,S01,silence,1768793438.186673,1768793522.6069117,84.42023873329163,43.01529933481153,88.0,0.006096690258286989,0.12892838137472284,0.0,0,0,0.0,0.0,3.9956364180262836,0.21177377076168002,3777
carla_c06_S01_D01_silence_20260119113237.csv,S01,silence,1768793557.341866,1768793619.753435,62.41156888008118,36.79898142600359,74.0,0.006072770458042319,0.18400898741761534,0.0,0,0,0.0,0.0,4.049335904184852,0.21877004599597188,2362
carla_c06_S01_D01_silence_20260119113500.csv,S01,silence,1768793700.4171531,1768793759.8951528,59.477999687194824,34.625432798237334,79.0,0.0062245364260905866,0.1738454516839786,0.0,0,0,0.0,0.0,3.70301657926263,0.1425364126882033,2696
carla_c06_S01_D01_silence_20260119114844.csv,S01,silence,1768794524.9649742,1768794607.487218,82.52224373817444,43.14473089099955,82.0,0.007578972558159645,0.14359158751696066,0.0,0,0,0.0,0.0,3.7841591785842232,0.2535000754933829,3846
carla_c06_S02_D01_RL_20260119134604.csv,S02,RL,1768801564.4636538,1768801710.579429,146.1157751083374,45.804258594150845,61.0,0.009336212898929963,0.07729130323242689,0.000986788096459723,0,3,20.009678602218628,0.13694399928674691,4.510253451792676,0.2897887287614507,8124
carla_c06_S02_D01_RL_20260119135539.csv,S02,RL,1768802139.416926,1768802218.9060223,79.48909640312195,46.639150943396224,87.0,0.004106612325940092,0.1678224056603774,0.0,0,4,30.02191734313965,0.3776859808656792,4.238069985189257,0.3069111366755567,3930
carla_c06_S02_D01_RL_20260119140730.csv,S02,RL,1768802851.1071174,1768802958.5323904,107.42527294158936,46.648799164636266,89.0,0.006777770739875442,0.11617699269056733,0.0,0,0,0.0,0.0,4.365805672318634,0.2718326551461772,5449
carla_c06_S02_D01_RL_20260119140938.csv,S02,RL,1768802979.159912,1768803107.3779695,128.2180573940277,49.07046783625731,106.0,0.011095142891802414,0.11043435672514622,0.0,0,0,0.0,0.0,4.331116718142577,0.2762537495757526,6670
carla_c06_S02_D01_feedback_20260119134407.csv,S02,feedback,1768801447.5468364,1768801539.0408628,91.49402642250061,42.67733278282411,85.0,0.008523054814450988,0.41934372419488025,0.008953963666391411,0,0,0.0,0.0,4.333932616785659,0.2850615071964313,4804
carla_c06_S02_D01_feedback_20260119134855.csv,S02,feedback,1768801735.765922,1768801852.7610838,116.99516177177429,44.29883405206836,87.0,0.004803949906460369,0.11019022520364158,0.0,0,0,0.0,0.0,4.560134859479009,0.23816399662415952,5849
carla_c06_S02_D01_feedback_20260119135116.csv,S02,feedback,1768801877.0029223,1768801978.142901,101.13997864723206,45.438033395176255,83.0,0.0059871610970175845,0.1222821892393321,0.0,0,0,0.0,0.0,4.454740391423063,0.28677425681768204,5156
carla_c06_S02_D01_feedback_20260119140016.csv,S02,feedback,1768802416.509409,1768802550.3424635,133.8330545425415,47.76268551236749,67.0,0.006342387223800235,0.10956862190812719,0.0,0,0,0.0,0.0,4.480847913434577,0.223314435826704,6124
carla_c06_S02_D01_silence_20260119135320.csv,S02,silence,1768802000.5870557,1768802117.333769,116.74671339988708,45.289503295290146,65.0,0.007705895695075182,0.09874505706478058,0.0,0,0,0.0,0.0,4.397959887995915,0.18777080604115526,6088
carla_c06_S02_D01_silence_20260119135721.csv,S02,silence,1768802241.206519,1768802394.635147,153.42862820625305,47.97827421136615,88.0,0.01708497344613117,0.08162440162022833,0.0,0,0,0.0,0.0,4.6935369798305535,0.3582078466716094,8300
carla_c06_S02_D01_silence_20260119140251.csv,S02,silence,1768802572.176825,1768802683.6558373,111.47901225090027,49.22452445652174,113.0,0.00628996687368104,0.13767493206521736,0.0,0,0,0.0,0.0,4.329251546061413,0.2575958992341567,5695
carla_c06_S02_D01_silence_20260119140504.csv,S02,silence,1768802704.825706,1768802828.4801962,123.65449023246765,48.08081271005194,106.0,0.007522366136441761,0.10111518484570732,0.0,0,0,0.0,0.0,4.308386244465354,0.23960609641798788,6567
carla_c06_S03_D01_RL_20260119150939.csv,S03,RL,1768806579.9214404,1768806706.759268,126.83782768249512,46.68848129126926,103.0,0.009364721564877367,0.1458129126925899,0.0027994130594277333,0,4,19.969305992126465,0.15743967203628187,4.713733794978824,0.41381873858968377,6144
carla_c06_S03_D01_RL_20260119151526.csv,S03,RL,1768806926.796133,1768807019.2200434,92.42391037940979,41.287727179906064,100.0,0.010814048729081888,0.09413334694711048,0.0,0,1,9.988596200942993,0.10807372421204388,4.662419103001837,0.3313029354001383,4517
carla_c06_S03_D01_RL_20260119152252.csv,S03,RL,1768807373.1781497,1768807467.601475,94.42332530021667,43.974,93.0,0.015232631966763692,0.10711979999999999,0.0,0,3,15.015082597732544,0.15901878640677453,4.648138361201625,0.3288497682544664,4754
carla_c06_S03_D01_RL_20260119153519.csv,S03,RL,1768808119.8830347,1768808211.2846606,91.40162587165833,43.74052598881756,114.0,0.024059560739573223,0.1126808863118658,0.0,0,4,30.01323628425598,0.3283665470721395,4.725823523042444,0.39376618141497566,3553
carla_c06_S03_D01_feedback_20260119151959.csv,S03,feedback,1768807199.6801484,1768807199.697168,0.01701974868774414,0.0,0.0,0.0001747043414063,0.0,0.0,0,0,0.0,0.0,5.313712581619,0.00807064490687534,2
carla_c06_S03_D01_feedback_20260119152039.csv,S03,feedback,1768807239.5602334,1768807352.2054524,112.64521908760071,46.00398869868705,111.0,0.005408527312727323,0.09038740235998005,0.0,0,0,0.0,0.0,4.510403420066363,0.3177788085829053,5778
carla_c06_S03_D01_feedback_20260119152450.csv,S03,feedback,1768807490.7181287,1768807586.6705194,95.95239067077637,46.88110236220472,119.0,0.01021835749192199,0.13188425196850392,0.0,0,0,0.0,0.0,4.485466562409375,0.34200765381737575,4897
carla_c06_S03_D01_feedback_20260119152647.csv,S03,feedback,1768807607.240934,1768807728.035591,120.79465699195862,47.65738423028786,120.0,0.0070282709200886915,0.10978942428035046,0.0,0,0,0.0,0.0,4.3751066900923625,0.28148725050919005,4813
carla_c06_S03_D01_feedback_20260119152910.csv,S03,feedback,1768807750.2598453,1768807872.4664931,122.2066478729248,48.87347065200557,116.0,0.015286496104347477,0.12291667957255692,0.0,0,0,0.0,0.0,4.706927554227193,0.3104730824929053,5218
carla_c06_S03_D01_silence_20260119151247.csv,S03,silence,1768806767.9940393,1768806905.8543005,137.86026120185852,43.43838604143948,90.0,0.008664145217661914,0.09234146673936751,0.004252726281352236,0,0,0.0,0.0,4.929658812736596,0.37637967398663186,6573
carla_c06_S03_D01_silence_20260119151719.csv,S03,silence,1768807039.9361331,1768807177.8996563,137.96352314949036,45.07266294733977,75.0,0.012375096050089521,0.0700862702408491,0.0,0,0,0.0,0.0,4.964735049438189,0.3855161429598751,7137
carla_c06_S03_D01_silence_20260119153133.csv,S03,silence,1768807894.089831,1768807915.8460944,21.756263256072998,59.31173380035026,130.0,0.01582818274494202,0.5548957968476358,0.0,0,0,0.0,0.0,4.854834914818247,0.35051704313635096,606
carla_c06_S03_D01_silence_20260119153304.csv,S03,silence,1768807984.5050533,1768808089.258281,104.75322771072388,46.1029810298103,107.0,0.010803140700743862,0.11022240289069557,0.0,0,0,0.0,0.0,4.4197023843487795,0.2804112481751928,4301
carla_c06_S03_D01_silence_20260119153715.csv,S03,silence,1768808236.0436385,1768808361.936321,125.89268255233765,47.73972197574682,112.0,0.018733602813945094,0.10736971310263237,0.0,0,0,0.0,0.0,4.7572220573762,0.38361701313877566,5764
carla_c06_S04_D01_RL_20260119174409.csv,S04,RL,1768815849.9229608,1768815929.458518,79.53555727005005,36.86020240056484,55.0,0.012472463620226292,0.124501529771711,0.09550811955754294,0,2,20.00023603439331,0.2514628264498828,4.0628477425770795,0.2678296635530114,3913
carla_c06_S04_D01_RL_20260119175428.csv,S04,RL,1768816468.9814682,1768816592.0040612,123.02259302139282,43.70297637312059,55.0,0.006599005445145089,0.1650711874808223,0.0746130714943234,0,0,0.0,0.0,4.181459337988351,0.22887402706200133,6023
carla_c06_S04_D01_RL_20260119175943.csv,S04,RL,1768816783.8221917,1768816923.368916,139.546724319458,46.53252914068853,90.0,0.0065611955134689285,0.09002792084575766,0.1038099756031445,0,4,35.00548052787781,0.25085132380278125,3.9779706361093603,0.22599364873164357,6869
carla_c06_S04_D01_RL_20260119180506.csv,S04,RL,1768817106.2409678,1768817244.8303192,138.58935141563416,47.83536501849062,128.0,0.008542377954270586,0.0860738255033557,0.10882112039446654,0,3,20.012484073638916,0.14440131127838818,3.945286475715218,0.24288146036104277,6679
carla_c06_S04_D01_feedback_20260119174141.csv,S04,feedback,1768815702.015468,1768815826.9782157,124.96274781227112,44.29604365620737,71.0,0.011199015828528017,0.3361485523722904,0.06437850538123388,0,0,0.0,0.0,4.081573996778779,0.31699115775502873,6705
carla_c06_S04_D01_feedback_20260119174808.csv,S04,feedback,1768816089.0211,1768816254.06298,165.04187989234924,48.838013698630135,64.0,0.013590847386441894,0.10721015981735159,0.1099178082191781,0,0,0.0,0.0,4.295054256817255,0.31496584428123997,8868
carla_c06_S04_D01_feedback_20260119175122.csv,S04,feedback,1768816282.3106213,1768816446.031253,163.72063183784485,47.90971098265896,90.0,0.012469308363995759,0.12571895953757226,0.08268057803468207,0,0,0.0,0.0,4.298335583848246,0.42176852053044267,8513
carla_c06_S04_D01_feedback_20260119180749.csv,S04,feedback,1768817269.3776696,1768817338.333577,68.95590734481812,43.5787326624966,85.0,0.003523281532415955,0.18471199347293987,0.08913489257546915,0,0,0.0,0.0,3.9296429861522815,0.21176353169211518,3169
carla_c06_S04_D01_silence_20260119174551.csv,S04,silence,1768815951.7464006,1768816066.4401548,114.69375419616699,45.62471245481433,60.0,0.008117015815950349,0.12247091685836345,0.10744265527440025,0,0,0.0,0.0,4.178736860904115,0.24458078878646614,6293
carla_c06_S04_D01_silence_20260119175727.csv,S04,silence,1768816647.3007002,1768816757.724579,110.42387890815735,46.40458668492213,80.0,0.007567618086168817,0.20170306349478007,0.03921957898339894,0,0,0.0,0.0,3.8092007828799885,0.22475905117607664,5370
carla_c06_S04_D01_silence_20260119180230.csv,S04,silence,1768816950.543187,1768817080.153991,129.61080408096313,47.807630697538954,88.0,0.00894354651567633,0.0984246395806029,0.10466404543468764,0,0,0.0,0.0,4.043586785598288,0.27733837917946075,6344
carla_c06_S04_D01_silence_20260119180923.csv,S04,silence,1768817364.0920022,1768817495.4246387,131.33263659477234,47.51066571224052,109.0,0.0088028495729549,0.09657437365783822,0.10631596277738013,0,0,0.0,0.0,4.063195554798914,0.2363095650098924,6485
